,x,y,EC_0.60,predicted_pH_H2O_10cm
0,107808.292,183287.807,30.41024957584077,6.537834679492
1,107808.292,183287.807,30.444640034142637,6.537879267365442
2,107808.292,183287.807,30.40940744174996,6.5378335876493745
3,107808.29,183287.806,30.5098348363747,6.537963793647865
4,107808.289,183287.806,30.49265005287969,6.537941513254132
5,107808.289,183287.805,30.458258165320306,6.537896923527629
6,107808.289,183287.805,30.42387754461909,6.53785234840882
7,107808.288,183287.805,30.265855848525074,6.537647470319531
8,107808.287,183287.804,30.324781248946675,6.537723868205058
9,107808.285,183287.804,30.400081676244515,6.537821496619692
10,107808.284,183287.803,30.47882120137548,6.537923583889094
11,107808.283,183287.802,30.545912078181612,6.538010568467722
12,107808.281,183287.802,30.56310516803773,6.538032859630807
13,107808.28,183287.801,30.444309556186266,6.5378788388945805
14,107808.278,183287.8,30.187847963913487,6.537546331635769
15,107808.274,183287.798,30.384038321548825,6.53780069610978
16,107808.274,183287.798,30.435619386835917,6.537867571927221
17,107808.274,183287.798,30.41843080703458,6.537845286611505
18,107808.274,183287.798,30.435619386835917,6.537867571927221
19,107808.274,183287.798,30.41843080703458,6.537845286611505
20,107808.274,183287.798,30.401220286561102,6.537822972849298
21,107808.274,183287.798,30.401220286561102,6.537822972849298
22,107808.274,183287.798,30.41843080703458,6.537845286611505
23,107808.274,183287.798,30.516614361616902,6.537972583429346
24,107808.273,183287.797,30.496820251006454,6.537946919994126
25,107808.272,183287.797,30.348713141396274,6.537754896351948
26,107808.269,183287.795,30.289756130165912,6.537678457482414
27,107808.267,183287.794,30.34133164141795,6.537745326098944
28,107808.266,183287.794,30.65093236236964,6.5381467292335715
29,107808.265,183287.794,30.525375885355405,6.537983942909007
30,107808.265,183287.794,30.525375885355405,6.537983942909007
31,107808.265,183287.794,30.559763622001416,6.538028527253772
32,107808.265,183287.793,30.539952439927657,6.53800284168508
33,107808.264,183287.793,30.591565474006345,6.538069758950657
34,107808.26,183287.791,30.382024287665928,6.537798084877122
35,107808.26,183287.791,30.53677441107045,6.537998721311131
36,107808.26,183287.791,30.51958744497984,6.537976438087622
37,107808.26,183287.791,30.502385839176046,6.537954135883451
38,107808.259,183287.791,30.42874432074421,6.537858658275239
39,107808.258,183287.79,30.445942319755915,6.5378809558031366
40,107808.257,183287.79,30.503230577189075,6.537955231102109
41,107808.256,183287.789,30.54022136039671,6.538003190345506
42,107808.255,183287.788,30.483762947026143,6.537929990954906
43,107808.254,183287.788,30.483762947026143,6.537929990954906
44,107808.253,183287.787,30.46397973507032,6.537904341649996
45,107808.252,183287.787,30.58963061489813,6.5380672503695765
46,107808.251,183287.786,30.520013623527557,6.537976990636093
47,107808.251,183287.786,30.48562884045135,6.537932410120686
48,107808.25,183287.786,30.520013623527557,6.537976990636093
49,107808.25,183287.786,30.463253201518015,6.537903399685635
50,107808.25,183287.786,30.4722711175872,6.5379150915827555
51,107808.249,183287.785,30.464071794277377,6.537904461006482
52,107808.248,183287.785,30.40763566042272,6.537831290501692
53,107808.248,183287.785,30.44202352613025,6.537875875013788
54,107808.247,183287.784,30.4174971713146,6.537844076135304
55,107808.246,183287.784,30.48378257557465,6.537930016403687
56,107808.246,183287.784,30.466576193305063,6.537907708006738
57,107808.245,183287.784,30.41500821767596,6.537840849160284
58,107808.245,183287.783,30.363422401372123,6.537773967183063
59,107808.245,183287.783,30.32903302106013,6.537729380707254
60,107808.245,183287.783,30.41500821767596,6.537840849160284
61,107808.243,183287.782,30.349528715989607,6.537755953759686
62,107808.236,183287.779,30.31517405181729,6.537711412294003
63,107808.236,183287.779,30.297978949836097,6.5376891185221595
64,107808.236,183287.779,30.31517405181729,6.537711412294003
65,107808.235,183287.779,30.29881394398687,6.5376902011077185
66,107808.234,183287.778,30.281626369952235,6.537667917095998
67,107808.232,183287.777,30.313362784878787,6.5377090639524855
68,107808.232,183287.777,30.313362784878787,6.5377090639524855
69,107808.232,183287.777,30.33058510928389,6.537731393018712
70,107808.232,183287.777,30.382153370914207,6.537798252235971
71,107808.232,183287.777,30.399364545345005,6.5378205668460465
72,107808.232,183287.777,30.34777908675367,6.537753685332605
73,107808.232,183287.777,30.313362784878787,6.5377090639524855
74,107808.231,183287.777,30.337910288602775,6.537740890250925
75,107808.231,183287.776,30.424493453682523,6.53785314694646
76,107808.229,183287.776,30.400778774272503,6.537822400420344
77,107808.228,183287.775,30.464556761205078,6.537905089775189
78,107808.222,183287.772,30.393560020049307,6.537813041170262
79,107808.222,183287.772,30.393560020049307,6.537813041170262
80,107808.222,183287.772,30.42795360082924,6.537857633092056
81,107808.222,183287.772,30.46233837640497,6.537902213597738
82,107808.222,183287.772,30.47953132874646,6.537924504582533
83,107808.222,183287.772,30.44514365290725,6.537879920316605
84,107808.222,183287.772,30.410759408086605,6.537835340499057
85,107808.222,183287.771,30.410759408086605,6.537835340499057
86,107808.221,183287.771,30.436964020503595,6.53786931526996
87,107808.22,183287.771,30.44514365290725,6.537879920316605
88,107808.218,183287.77,30.280673070788136,6.537666681125773
89,107808.212,183287.767,30.33295192315154,6.53773446163723
90,107808.212,183287.767,30.35012907509414,6.537756732136512
91,107808.212,183287.767,30.36732932413972,6.537779032581621
92,107808.212,183287.767,30.418909967246098,6.537845907851696
93,107808.212,183287.767,30.418909967246098,6.537845907851696
94,107808.212,183287.767,30.401724570653315,6.53782362666307
95,107808.212,183287.767,30.418909967246098,6.537845907851696
96,107808.212,183287.767,30.453309692218514,6.537890507739551
97,107808.212,183287.766,30.418909967246098,6.537845907851696
98,107808.211,183287.766,30.38537396145311,6.537802427791938
99,107808.21,183287.766,30.36819305101124,6.537780152419691
100,107808.207,183287.764,30.41976282823587,6.537847013601946
101,107808.207,183287.764,30.43695584534232,6.537869304670711
102,107808.207,183287.764,30.43695584534232,6.537869304670711
103,107808.207,183287.764,30.41976282823587,6.537847013601946
104,107808.207,183287.764,30.4025684112736,6.537824720718243
105,107808.207,183287.764,30.38537396145311,6.537802427791938
106,107808.207,183287.764,30.4025684112736,6.537824720718243
107,107808.207,183287.764,30.43695584534232,6.537869304670711
108,107808.206,183287.764,30.439449727445407,6.537872538035576
109,107808.205,183287.763,30.439449727445407,6.537872538035576
110,107808.204,183287.762,30.355973763444577,6.537764309884451
111,107808.198,183287.759,30.337090194783496,6.537739826983925
112,107808.198,183287.759,30.30270363676516,6.537695244167273
113,107808.198,183287.759,30.26831552525075,6.537650659336484
114,107808.198,183287.759,30.26831552525075,6.537650659336484
115,107808.198,183287.759,30.285511743677976,6.537672954555821
116,107808.198,183287.759,30.285511743677976,6.537672954555821
117,107808.198,183287.759,30.26831552525075,6.537650659336484
118,107808.198,183287.759,30.233924270003996,6.537606070429787
119,107808.198,183287.759,30.216736887817323,6.537583786666802
120,107808.198,183287.759,30.25112389760145,6.537628370069177
121,107808.193,183287.757,30.30273307427837,6.53769528233356
122,107808.188,183287.754,30.43528523660031,6.53786713869518
123,107808.188,183287.754,30.41810166458098,6.537844859872148
124,107808.188,183287.754,30.41810166458098,6.537844859872148
125,107808.188,183287.754,30.43528523660031,6.53786713869518
126,107808.188,183287.754,30.45248323554232,6.537889436222988
127,107808.188,183287.754,30.43528523660031,6.53786713869518
128,107808.188,183287.754,30.43528523660031,6.53786713869518
129,107808.184,183287.753,30.468840912714363,6.537910644257878
130,107808.176,183287.748,30.313362784878787,6.5377090639524855
131,107808.165,183287.742,30.334822973869617,6.537736887489538
132,107808.149,183287.735,30.57296648200728,6.538045645009106
133,107808.136,183287.728,30.568719231391,6.538040138369116
134,107808.123,183287.722,30.396032078005984,6.5378162462397125
135,107808.11,183287.715,30.276674754351067,6.537661497233611
136,107808.103,183287.712,30.51688766364529,6.537972937770546
137,107808.097,183287.709,30.36877765410306,6.537780910368551
138,107808.096,183287.708,30.32753037248019,6.5377274324952195
139,107808.095,183287.708,30.32753037248019,6.5377274324952195
140,107808.095,183287.708,30.310341393154665,6.537705146661514
141,107808.095,183287.708,30.310341393154665,6.537705146661514
142,107808.094,183287.708,30.328372554995777,6.537728524400628
143,107808.087,183287.704,30.301017980798868,6.537693058682734
144,107808.086,183287.704,30.301017980798868,6.537693058682734
145,107808.086,183287.704,30.28381493922457,6.53767075461706
146,107808.086,183287.704,30.249419416250547,6.537626160177174
147,107808.086,183287.704,30.249419416250547,6.537626160177174
148,107808.085,183287.703,30.313852018094558,6.537709698252515
149,107808.084,183287.702,30.29139415695215,6.537680581214829
150,107808.083,183287.702,30.077209887969907,6.537402887297667
151,107808.083,183287.702,30.05418279564089,6.537373032241083
152,107808.083,183287.702,30.0885651627134,6.537417609624096
153,107808.082,183287.702,30.12294913036179,6.5374621890822855
154,107808.082,183287.701,30.14274751409844,6.537487858057693
155,107808.081,183287.701,30.20481378631376,6.53756832814234
156,107808.075,183287.698,30.44753436314397,6.5378830199172135
157,107808.075,183287.698,30.413147865991892,6.5378384371794755
158,107808.074,183287.698,30.39594538491605,6.537816133840497
159,107808.068,183287.695,30.34062729267984,6.53774441289761
160,107808.068,183287.695,30.323446176605835,6.537722137258758
161,107808.067,183287.694,30.374588955064347,6.537788444829114
162,107808.066,183287.694,30.193396624915408,6.537553525578704
163,107808.065,183287.693,30.208335348294096,6.53757289391342
