x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,direction_nrs,line_numbers,geometry,pos
635511.3893,5692645.449,26.16,125132.81,4.917220878,4.163400725,19.02366751,7.797368788,33.89618895,16.59281631,0.0372286,0.233245608,0.516022184,0.341803357,0.194153992,-0.360392529,1,110,POINT (635511.3893 5692645.449),6.339182485608693
635510.809,5692645.38,26.16,125133.01,5.017220878,4.463400725,19.02366751,7.897368788,34.39618895,15.99281631,0.0372286,0.213245608,0.516022184,0.301803357,0.504153992,-0.770392529,1,110,POINT (635510.809 5692645.38),6.923570276423971
635510.2736,5692645.317,26.16,125133.17,5.117220878,4.663400725,19.22366751,7.897368788,34.39618895,15.89281631,0.0372286,0.203245608,0.516022184,0.301803357,0.504153992,-1.050392529,1,110,POINT (635510.2736 5692645.317),7.462664108762622
635509.5706,5692645.235,26.16,125133.37,5.517220878,4.363400725,19.62366751,7.597368788,34.39618895,16.09281631,0.0372286,0.203245608,0.546022184,0.371803357,0.494153992,-1.050392529,1,110,POINT (635509.5706 5692645.235),8.170430313016851
635508.7638,5692645.145,26.16,125133.62,5.917220878,4.363400725,19.42366751,7.897368788,34.39618895,16.29281631,0.0272286,0.203245608,0.546022184,0.361803357,0.474153992,-1.580392529,1,110,POINT (635508.7638 5692645.145),8.98223462451906
635508.1012,5692645.076,26.15907388,125133.82,6.117220878,4.663400725,19.22366751,8.097368788,34.89618895,16.69281631,0.0372286,0.203245608,0.556022184,0.341803357,0.224153992,-1.680392529,1,110,POINT (635508.1012 5692645.076),9.648417602227353
635507.3708,5692645.001,26.15490348,125134.03,5.817220878,4.563400725,19.72366751,8.297368788,35.69618895,16.99281631,0.0372286,0.233245608,0.486022184,0.421803357,-0.105846008,-1.290392529,1,110,POINT (635507.3708 5692645.001),10.382658135042373
635506.918,5692644.955,26.15490348,125134.17,6.017220878,4.463400725,19.72366751,8.297368788,35.49618895,17.29281631,0.0272286,0.253245608,0.486022184,0.421803357,0.284153992,-1.940392529,1,110,POINT (635506.918 5692644.955),10.837788709808004
635506.3472,5692644.896,26.147945,125134.36,6.217220878,4.663400725,19.92366751,8.497368788,35.39618895,17.49281631,0.0272286,0.253245608,0.466022184,0.471803357,0.474153992,-2.350392529,1,110,POINT (635506.3472 5692644.896),11.411629837671024
635505.48,5692644.806,26.12489216,125134.63,5.917220878,4.663400725,19.72366751,8.497368788,35.29618895,17.69281631,0.0372286,0.273245608,0.586022184,0.341803357,0.494153992,-2.010392529,1,110,POINT (635505.48 5692644.806),12.28348753244486
635504.8925,5692644.745,26.12435456,125134.83,5.817220878,4.863400725,19.42366751,8.797368788,35.09618895,17.59281631,0.0372286,0.283245608,0.636022184,0.361803357,0.564153992,-1.160392529,1,110,POINT (635504.8925 5692644.745),12.874145851608624
635504.1692,5692644.67,26.14029632,125135.04,5.717220878,4.963400725,19.92366751,9.397368788,35.19618895,17.59281631,0.0472286,0.253245608,0.606022184,0.281803357,0.534153992,-0.580392529,1,110,POINT (635504.1692 5692644.67),13.601323883428655
635503.7994,5692644.631,26.14029632,125135.16,6.317220878,5.163400725,19.92366751,9.397368788,36.19618895,17.99281631,0.0372286,0.203245608,0.606022184,0.281803357,0.244153992,-0.170392529,1,110,POINT (635503.7994 5692644.631),13.973174713708286
635503.1447,5692644.565,26.14996448,125135.36,7.117220878,5.463400725,20.62366751,9.497368788,37.09618895,18.39281631,0.0372286,0.183245608,0.546022184,0.211803357,0.074153992,-0.210392529,1,110,POINT (635503.1447 5692644.565),14.631193018960454
635502.2413,5692644.476,26.12502944,125135.64,7.717220878,5.863400725,22.42366751,9.997368788,36.39618895,19.09281631,0.0372286,0.183245608,0.456022184,0.281803357,0.384153992,-0.890392529,1,110,POINT (635502.2413 5692644.476),15.538966426823478
635501.5865,5692644.414,26.12,125135.84,8.217220878,5.963400725,22.22366751,10.29736879,36.39618895,19.89281631,0.0272286,0.193245608,0.526022184,0.361803357,0.514153992,-1.590392529,1,110,POINT (635501.5865 5692644.414),16.196695124702767
635501.0212,5692644.363,26.12,125136.01,8.017220878,6.163400725,21.62366751,10.59736879,36.69618895,20.59281631,0.0372286,0.203245608,0.596022184,0.371803357,0.654153992,-1.990392529,1,110,POINT (635501.0212 5692644.363),16.764291010889817
635500.5284,5692644.321,26.12,125136.17,7.917220878,6.263400725,21.62366751,10.59736879,36.89618895,21.09281631,0.0472286,0.233245608,0.596022184,0.371803357,0.684153992,-1.640392529,1,110,POINT (635500.5284 5692644.321),17.25887754523906
635499.8593,5692644.264,26.11977018,125136.37,8.117220878,6.463400725,22.22366751,11.19736879,37.29618895,21.39281631,0.0472286,0.243245608,0.646022184,0.391803357,0.664153992,-1.320392529,1,110,POINT (635499.8593 5692644.264),17.930401044399275
635498.9841,5692644.186,26.09922253,125136.62,8.317220878,6.763400725,23.12366751,11.29736879,39.09618895,21.29281631,0.0572286,0.213245608,0.666022184,0.341803357,0.434153992,-1.160392529,1,110,POINT (635498.9841 5692644.186),18.80906994684342
