,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
0,107741.0847,183334.8013,10.218636453853595,17.747860979329637,29.3060860387022,41.6638398997114,52.9962712315335,62.50487099849778,69.97644944642656,75.48445571922902,79.22926530241769,81.44973323691741,82.38468884468828,82.25802328677013,81.26553781634495,79.57607485703403,77.32562486138039,74.63026562565474,71.58673132426235,68.27635567452297,64.76641452415917,61.10683128453508,57.343550288310745,6.441672795
1,107741.2896,183334.4438,11.290195113343861,18.94878894692415,30.60973286961705,42.99658130412251,54.27972268776738,63.67575680481455,70.98822434259056,76.30141606988425,79.82724404861392,81.81235192509295,82.50785476614942,82.1399052587585,80.90892674142978,78.98200213682901,76.50206774404752,73.57941384355578,70.31773892462556,66.7922437769221,63.06834030281824,59.20531912655119,55.24183054843652,6.853693723
2,107741.4441,183334.1826,12.072882535492116,19.75433413351841,31.470239396679496,43.90335019621144,55.19671295026795,64.56289680941998,71.80160481692137,77.00988655664644,80.40825422405774,82.24889319853254,82.78473838736522,82.24057107048489,80.82386144518227,78.70401007870298,76.02490739503862,72.90163037111851,69.4340682439047,65.70644761773723,61.78611055269687,57.729720580273764,53.574548632535596,7.157151502
3,107741.6123,183333.9053,12.149774632597083,20.152013180992036,32.23866753025871,44.97417176799387,56.474673952513115,65.94856780334382,73.21352353979539,78.38035783188894,81.68070183356191,83.38211036614543,83.74471281214805,83.00229394360261,81.3652456122359,79.00502141278224,76.07374280108647,72.69108402865301,68.96376172845191,64.97509745135865,60.794291291896066,56.477158131068855,52.07048390295455,7.48146801
4,107741.8025,183333.5985,12.618277644988753,20.7319236626051,33.007944915220584,45.94560627563744,57.61955390074161,67.22046945408461,74.5550866011467,79.73483761311701,82.99514510644757,84.61127513425386,84.84988898187385,83.95781547506779,82.14671891710559,79.59940945995946,76.46497167076458,72.86963149102355,68.9181654253435,64.69802902158158,60.28391903585345,55.732657967825155,51.091640351860214,7.842468204
5,107741.9985,183333.2887,11.574779082219441,20.25765016893554,33.29907258222618,46.991545132441786,59.30513155422125,69.39030190476858,77.05048249558453,82.40700592088925,85.7131465977968,87.26373345720327,87.34903629691878,86.22680038900344,84.1303627988511,81.24922400963808,77.74840476135749,73.76138770413274,69.39921865295607,64.75771440194183,59.909354269128535,54.920903321184305,49.83790741998088,8.209021433
6,107742.1543,183333.0465,11.275338815724442,20.009822041778836,33.122027692077204,46.87929808879899,59.2463046583755,69.37604237652559,77.07729708959636,82.47581996650322,85.82801730389758,87.43026782880567,87.57269150214216,86.51948817967447,84.50061629686705,81.7090831603341,78.30343308183203,74.41659570610189,70.15821385701949,65.62237036835376,60.885525467586916,56.010390669572196,51.04626153385168,8.497024697
7,107742.3004,183332.821,11.115638350585009,19.7812243041192,32.83858061993653,46.58438424272519,58.97894225788523,69.16343116549199,76.93623096869715,82.41370111918106,85.8516132059787,87.54063072443901,87.77009763290496,86.79952289889414,84.85866744972336,82.13845053160065,78.80315899478465,74.98297792823608,70.7898066248358,66.31245343456939,61.6279465237781,56.80223940526999,51.88527038757768,8.765721107
8,107742.4589,183332.5787,11.295577869304317,19.800868390616817,32.680392333276764,46.29349079815415,58.61714494835548,68.78541835823161,76.58401226588188,82.11471391796915,85.62207571412559,87.3884842112349,87.6974213304137,86.80410311135554,84.93555620430917,82.28148988209996,79.00516366031538,75.23750232781926,71.09049031989571,66.65338978593937,62.00484058263944,57.21004889330481,52.31920224202254,9.05524951
9,107742.6913,183332.2269,12.641780852707582,20.722222971866053,33.05864888475479,46.16683941256097,58.08925645090353,67.96849029887905,75.58092807220993,81.01195639221075,84.48521676994223,86.27025032498892,86.6348054196705,85.82556181448555,84.05987843012184,81.52273368678507,78.36983093923517,74.73261106044146,70.71990651131732,66.4216770210282,61.913504211010725,57.25649777190403,52.502495888079366,9.476893614
10,107742.8523,183331.9855,13.30920897474447,21.20398045016502,33.267776291140876,46.09320412962198,57.75815996473788,67.42619671040372,74.8750210801892,80.18949619415102,83.588326077104,85.33396974131973,85.68824911910015,84.89262364487642,83.15871555243855,80.66824724105444,77.57319072913562,74.00272789319071,70.06392045747761,65.84506631805277,61.420169252340685,56.84922588692903,52.181554646729104,9.767041975
11,107743.0684,183331.6638,12.73591403934847,20.69914075373046,32.85402321419966,45.78273755843657,57.554995813549354,67.32858302810173,74.8734991850475,80.26897853029031,83.72899123648078,85.51684506053672,85.89757127160297,85.1166362532568,83.38661085739311,80.88895066204327,77.77756781334469,74.17874291434607,70.199529733816,65.93564170707921,61.463557070995776,56.84100049083987,52.115646679954175,10.15460981
12,107743.2477,183331.3985,12.158429937411352,20.16155125304204,32.322995708946415,45.23995638393326,56.99928868029068,66.76912807694147,74.32141399265025,79.7443967961025,83.25233366382385,85.10761693304522,85.56529834556596,84.86409514358787,83.21634654977387,80.80256668087512,77.7792844225702,74.27237956710462,70.39139978727779,66.2250671006943,61.848008078752905,57.322464698263104,52.69482233742348,10.47475097
