id,x,y
1,107719.853,183326.516
2,107755.838,183331.095
3,107797.963,183278.886
4,107764.388,183318.416
5,107723.617,183309.551
6,107742.174,183329.651
7,107806.339,183274.885
8,107758.704,183312.634
9,107775.993,183310.289
10,107726.74,183319.096
