x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
107763.675,183248.856,71.034218,39691.58,37.26267415,16.54560348,65.01421803,33.0153092,78.74049835,56.58169312,0.960332749,0.628496972,0.996713171,0.059562359,1.467678317,-2.194993483
107763.479,183249.07,71.026726,39691.69,37.16267415,16.14560348,65.21421803,32.4153092,78.64049835,56.58169312,0.960332749,0.628496972,0.996713171,0.029562359,1.487678317,-2.274993483
107763.289,183249.28,71.01999962,39691.77,36.76267415,15.84560348,65.21421803,32.1153092,78.44049835,56.18169312,0.960332749,0.628496972,0.996713171,0.029562359,1.497678317,-2.274993483
107763.096,183249.493,71.011694,39691.87,36.46267415,15.94560348,63.81421803,32.2153092,77.54049835,55.68169312,0.960332749,0.628496972,0.986713171,0.039562359,1.487678317,-2.194993483
107762.89,183249.725,71.003962,39691.98,36.46267415,16.24560348,63.11421803,32.5153092,76.14049835,55.08169312,0.960332749,0.638496972,0.986713171,0.069562359,1.487678317,-2.094993483
107762.714,183249.924,71.003962,39692.05,36.46267415,16.54560348,63.11421803,32.9153092,74.94049835,54.68169312,0.960332749,0.638496972,0.986713171,0.089562359,1.467678317,-2.044993483
107762.516,183250.152,70.99442144,39692.15,36.46267415,16.54560348,62.71421803,33.2153092,74.34049835,54.88169312,0.960332749,0.638496972,0.986713171,0.089562359,1.447678317,-2.044993483
107762.324,183250.376,70.9873012,39692.24,36.56267415,16.34560348,62.81421803,33.2153092,74.54049835,55.38169312,0.960332749,0.638496972,0.986713171,0.089562359,1.437678317,-2.064993483
107762.098,183250.642,70.97865043,39692.37,36.56267415,15.64560348,62.91421803,32.7153092,75.14049835,55.58169312,0.960332749,0.638496972,0.976713171,0.089562359,1.427678317,-2.064993483
107761.861,183250.929,70.97080587,39692.47,36.26267415,15.44560348,62.61421803,32.1153092,75.44049835,55.38169312,0.960332749,0.638496972,0.976713171,0.089562359,1.437678317,-2.074993483
107761.721,183251.099,70.9621638,39692.56,35.76267415,15.44560348,61.81421803,31.7153092,75.44049835,54.88169312,0.960332749,0.638496972,0.966713171,0.089562359,1.447678317,-2.124993483
107761.612,183251.233,70.9621638,39692.61,35.36267415,15.54560348,61.81421803,31.7153092,75.14049835,54.08169312,0.960332749,0.638496972,0.966713171,0.089562359,1.447678317,-2.244993483
107761.404,183251.491,70.95426488,39692.71,35.16267415,15.74560348,61.11421803,31.5153092,74.54049835,53.38169312,0.960332749,0.638496972,0.976713171,0.069562359,1.437678317,-2.394993483
107761.222,183251.721,70.94549455,39692.81,35.16267415,15.84560348,60.71421803,31.5153092,73.64049835,52.88169312,0.960332749,0.638496972,0.976713171,0.009562359,1.447678317,-2.514993483
107760.852,183252.196,70.92921003,39693.01,34.86267415,15.14560348,60.61421803,30.7153092,72.94049835,52.58169312,0.960332749,0.628496972,0.976713171,-0.010437641,1.457678317,-2.554993483
107760.654,183252.453,70.91396926,39693.1,34.16267415,14.44560348,60.61421803,30.7153092,72.54049835,52.28169312,0.960332749,0.638496972,0.976713171,-0.010437641,1.467678317,-2.534993483
107760.505,183252.649,70.91396926,39693.2,34.16267415,13.94560348,59.81421803,29.8153092,72.34049835,51.68169312,0.960332749,0.638496972,0.976713171,-0.000437641,1.457678317,-2.464993483
107760.346,183252.858,70.90414187,39693.3,33.26267415,13.94560348,59.81421803,28.9153092,72.34049835,51.18169312,0.960332749,0.638496972,0.976713171,0.009562359,1.437678317,-2.364993483
107760.109,183253.174,70.89493341,39693.41,32.56267415,13.34560348,57.91421803,28.0153092,72.44049835,50.88169312,0.960332749,0.638496972,0.976713171,0.029562359,1.427678317,-2.274993483
107759.944,183253.395,70.88556613,39693.51,31.96267415,12.74560348,57.51421803,27.4153092,72.34049835,50.58169312,0.960332749,0.638496972,0.966713171,0.049562359,1.407678317,-2.234993483
107759.801,183253.587,70.87613929,39693.6,31.56267415,12.24560348,57.21421803,26.6153092,72.14049835,49.88169312,0.960332749,0.648496972,0.956713171,0.059562359,1.387678317,-2.224993483
107759.605,183253.854,70.86675216,39693.7,30.96267415,11.74560348,57.21421803,25.6153092,71.84049835,48.88169312,0.960332749,0.648496972,0.956713171,0.059562359,1.387678317,-2.224993483
107759.428,183254.095,70.85659065,39693.8,30.36267415,11.34560348,55.71421803,24.7153092,71.44049835,47.98169312,0.960332749,0.648496972,0.966713171,0.069562359,1.387678317,-2.174993483
107759.253,183254.337,70.84938152,39693.9,29.66267415,11.04560348,54.51421803,24.0153092,70.84049835,46.98169312,0.960332749,0.648496972,0.966713171,0.079562359,1.377678317,-2.094993483
107759.079,183254.578,70.84067087,39694.01,29.06267415,10.74560348,53.61421803,23.5153092,69.94049835,46.18169312,0.960332749,0.658496972,0.966713171,0.089562359,1.367678317,-2.064993483
107758.958,183254.747,70.83158599,39694.09,28.66267415,10.64560348,53.61421803,23.4153092,68.94049835,45.38169312,0.960332749,0.658496972,0.966713171,0.089562359,1.347678317,-2.084993483
107758.756,183255.031,70.82610516,39694.2,28.36267415,10.74560348,52.11421803,23.4153092,67.94049835,44.68169312,0.950332749,0.658496972,0.956713171,0.089562359,1.347678317,-2.154993483
107758.589,183255.268,70.81855172,39694.3,28.06267415,10.84560348,51.51421803,23.3153092,67.34049835,43.68169312,0.950332749,0.658496972,0.956713171,0.079562359,1.347678317,-2.264993483
107758.516,183255.372,70.81855172,39694.35,27.76267415,10.94560348,51.51421803,23.3153092,66.84049835,43.68169312,0.950332749,0.658496972,0.956713171,0.079562359,1.377678317,-2.264993483
107758.34,183255.624,70.81198704,39694.45,27.46267415,10.94560348,51.01421803,23.1153092,66.44049835,43.08169312,0.950332749,0.648496972,0.966713171,0.059562359,1.407678317,-2.294993483
107758.187,183255.846,70.80281504,39694.54,27.26267415,10.84560348,50.61421803,22.5153092,66.04049835,42.48169312,0.960332749,0.648496972,0.966713171,0.049562359,1.417678317,-2.284993483
107758.043,183256.055,70.7959448,39694.64,27.16267415,10.74560348,50.11421803,22.4153092,65.84049835,41.98169312,0.960332749,0.648496972,0.966713171,0.059562359,1.407678317,-2.234993483
107757.835,183256.362,70.78985136,39694.76,27.06267415,10.64560348,49.31421803,22.2153092,65.74049835,41.68169312,0.960332749,0.658496972,0.966713171,0.069562359,1.397678317,-2.174993483
107757.676,183256.597,70.77977753,39694.86,26.86267415,10.64560348,49.31421803,22.0153092,65.64049835,41.38169312,0.960332749,0.658496972,0.956713171,0.079562359,1.377678317,-2.144993483
107757.51,183256.842,70.77304414,39694.95,26.66267415,10.54560348,49.21421803,21.7153092,65.44049835,41.08169312,0.960332749,0.658496972,0.956713171,0.079562359,1.367678317,-2.154993483
107757.316,183257.131,70.77304414,39695.08,26.66267415,10.64560348,49.21421803,21.4153092,65.04049835,40.98169312,0.960332749,0.658496972,0.946713171,0.079562359,1.347678317,-2.184993483
107757.159,183257.366,70.75930046,39695.17,26.66267415,10.74560348,49.11421803,21.0153092,64.44049835,41.08169312,0.960332749,0.648496972,0.956713171,0.089562359,1.327678317,-2.224993483
107756.934,183257.701,70.753042,39695.29,26.76267415,11.04560348,48.91421803,21.1153092,63.84049835,40.98169312,0.950332749,0.648496972,0.956713171,0.089562359,1.327678317,-2.234993483
107756.778,183257.933,70.74614933,39695.39,27.06267415,11.54560348,49.01421803,21.7153092,62.94049835,40.48169312,0.950332749,0.648496972,0.966713171,0.079562359,1.347678317,-2.224993483
107756.627,183258.157,70.739294,39695.49,27.26267415,11.74560348,49.21421803,22.6153092,62.14049835,40.08169312,0.960332749,0.648496972,0.956713171,0.069562359,1.367678317,-2.214993483
107756.45,183258.42,70.73176284,39695.59,27.36267415,11.64560348,49.31421803,23.1153092,61.44049835,39.98169312,0.960332749,0.658496972,0.946713171,0.069562359,1.367678317,-2.204993483
