x,y,EC_0.60,predicted_pH_H2O_10cm
107808.292,183287.807,30.41024957584077,6.537834679492001
107808.292,183287.807,30.444640034142637,6.537879267365444
107808.292,183287.807,30.40940744174996,6.537833587649375
107808.29,183287.806,30.5098348363747,6.537963793647866
107808.289,183287.806,30.49265005287969,6.537941513254133
107808.289,183287.805,30.458258165320306,6.537896923527631
107808.289,183287.805,30.42387754461909,6.537852348408822
107808.288,183287.805,30.265855848525074,6.5376474703195315
107808.287,183287.804,30.324781248946675,6.53772386820506
107808.285,183287.804,30.400081676244515,6.537821496619693
107808.284,183287.803,30.47882120137548,6.537923583889095
107808.283,183287.802,30.545912078181612,6.5380105684677225
107808.281,183287.802,30.56310516803773,6.538032859630809
107808.28,183287.801,30.444309556186266,6.537878838894582
107808.278,183287.8,30.187847963913487,6.53754633163577
107808.274,183287.798,30.384038321548825,6.537800696109782
107808.274,183287.798,30.435619386835917,6.5378675719272215
107808.274,183287.798,30.41843080703458,6.537845286611507
107808.274,183287.798,30.435619386835917,6.5378675719272215
107808.274,183287.798,30.41843080703458,6.537845286611507
107808.274,183287.798,30.401220286561102,6.537822972849299
107808.274,183287.798,30.401220286561102,6.537822972849299
107808.274,183287.798,30.41843080703458,6.537845286611507
107808.274,183287.798,30.516614361616902,6.537972583429347
107808.273,183287.797,30.496820251006454,6.537946919994127
107808.272,183287.797,30.348713141396274,6.537754896351949
107808.269,183287.795,30.289756130165912,6.537678457482416
107808.267,183287.794,30.34133164141795,6.537745326098945
107808.266,183287.794,30.65093236236964,6.538146729233572
107808.265,183287.794,30.525375885355405,6.537983942909008
107808.265,183287.794,30.525375885355405,6.537983942909008
107808.265,183287.794,30.559763622001416,6.538028527253774
107808.265,183287.793,30.539952439927657,6.538002841685081
107808.264,183287.793,30.591565474006345,6.538069758950659
107808.26,183287.791,30.382024287665928,6.537798084877123
107808.26,183287.791,30.53677441107045,6.537998721311133
107808.26,183287.791,30.51958744497984,6.5379764380876235
107808.26,183287.791,30.502385839176046,6.537954135883452
107808.259,183287.791,30.42874432074421,6.53785865827524
107808.258,183287.79,30.445942319755915,6.537880955803137
107808.257,183287.79,30.503230577189075,6.537955231102111
107808.256,183287.789,30.54022136039671,6.538003190345507
107808.255,183287.788,30.483762947026143,6.537929990954908
107808.254,183287.788,30.483762947026143,6.537929990954908
107808.253,183287.787,30.46397973507032,6.537904341649997
107808.252,183287.787,30.58963061489813,6.538067250369578
107808.251,183287.786,30.520013623527557,6.5379769906360945
107808.251,183287.786,30.48562884045135,6.537932410120688
107808.25,183287.786,30.520013623527557,6.5379769906360945
107808.25,183287.786,30.463253201518015,6.537903399685636
107808.25,183287.786,30.4722711175872,6.537915091582757
107808.249,183287.785,30.464071794277377,6.537904461006484
107808.248,183287.785,30.40763566042272,6.5378312905016935
107808.248,183287.785,30.44202352613025,6.537875875013789
107808.247,183287.784,30.4174971713146,6.537844076135306
107808.246,183287.784,30.48378257557465,6.537930016403688
107808.246,183287.784,30.466576193305063,6.537907708006739
107808.245,183287.784,30.41500821767596,6.537840849160286
107808.245,183287.783,30.363422401372123,6.537773967183064
107808.245,183287.783,30.32903302106013,6.537729380707255
107808.245,183287.783,30.41500821767596,6.537840849160286
107808.243,183287.782,30.349528715989607,6.537755953759688
107808.236,183287.779,30.31517405181729,6.537711412294004
107808.236,183287.779,30.297978949836097,6.53768911852216
107808.236,183287.779,30.31517405181729,6.537711412294004
107808.235,183287.779,30.29881394398687,6.537690201107719
107808.234,183287.778,30.281626369952235,6.537667917096
107808.232,183287.777,30.313362784878787,6.537709063952487
107808.232,183287.777,30.313362784878787,6.537709063952487
107808.232,183287.777,30.33058510928389,6.5377313930187135
107808.232,183287.777,30.382153370914207,6.537798252235972
107808.232,183287.777,30.399364545345005,6.537820566846047
107808.232,183287.777,30.34777908675367,6.537753685332606
107808.232,183287.777,30.313362784878787,6.537709063952487
107808.231,183287.777,30.337910288602775,6.537740890250927
107808.231,183287.776,30.424493453682523,6.5378531469464605
107808.229,183287.776,30.400778774272503,6.537822400420346
107808.228,183287.775,30.464556761205078,6.53790508977519
107808.222,183287.772,30.393560020049307,6.537813041170263
107808.222,183287.772,30.393560020049307,6.537813041170263
107808.222,183287.772,30.42795360082924,6.537857633092057
107808.222,183287.772,30.46233837640497,6.537902213597739
107808.222,183287.772,30.47953132874646,6.537924504582534
107808.222,183287.772,30.44514365290725,6.537879920316606
107808.222,183287.772,30.410759408086605,6.537835340499059
107808.222,183287.771,30.410759408086605,6.537835340499059
107808.221,183287.771,30.436964020503595,6.537869315269962
107808.22,183287.771,30.44514365290725,6.537879920316606
107808.218,183287.77,30.280673070788136,6.537666681125775
107808.212,183287.767,30.33295192315154,6.537734461637231
107808.212,183287.767,30.35012907509414,6.537756732136513
107808.212,183287.767,30.36732932413972,6.537779032581622
107808.212,183287.767,30.418909967246098,6.537845907851697
107808.212,183287.767,30.418909967246098,6.537845907851697
107808.212,183287.767,30.401724570653315,6.537823626663072
107808.212,183287.767,30.418909967246098,6.537845907851697
107808.212,183287.767,30.453309692218514,6.537890507739553
107808.212,183287.766,30.418909967246098,6.537845907851697
107808.211,183287.766,30.38537396145311,6.537802427791939
107808.21,183287.766,30.36819305101124,6.537780152419692
107808.207,183287.764,30.41976282823587,6.537847013601947
107808.207,183287.764,30.43695584534232,6.537869304670712
107808.207,183287.764,30.43695584534232,6.537869304670712
107808.207,183287.764,30.41976282823587,6.537847013601947
107808.207,183287.764,30.4025684112736,6.537824720718244
107808.207,183287.764,30.38537396145311,6.537802427791939
107808.207,183287.764,30.4025684112736,6.537824720718244
107808.207,183287.764,30.43695584534232,6.537869304670712
107808.206,183287.764,30.439449727445407,6.537872538035578
107808.205,183287.763,30.439449727445407,6.537872538035578
107808.204,183287.762,30.355973763444577,6.537764309884452
107808.198,183287.759,30.337090194783496,6.537739826983927
107808.198,183287.759,30.30270363676516,6.537695244167274
107808.198,183287.759,30.26831552525075,6.537650659336485
107808.198,183287.759,30.26831552525075,6.537650659336485
107808.198,183287.759,30.285511743677976,6.537672954555822
107808.198,183287.759,30.285511743677976,6.537672954555822
107808.198,183287.759,30.26831552525075,6.537650659336485
107808.198,183287.759,30.233924270003996,6.5376060704297885
107808.198,183287.759,30.216736887817323,6.5375837866668025
