x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_end,ID,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,x_query,y_query,pH_H2O_10cm,bd_10cm_23,por_10cm,CEC_10cm,clay_10cm,silt_10cm ,sand_10cm,TOC_10cm ,pH_H2O_50cm,CEC_50cm,clay_50cm,silt_50cm,sand_50cm,TOC_50cm,vmc_hydra,EC_bulk_hydra,EC_water_hydra,vwc_10cm,bd_10cm,vwc_50cm,bd_50cm
107720.7017,183327.3371,38.97246660941744,42.354381711211715,47.43809951107771,52.66661682001334,57.18618578871681,60.6526782135568,62.99999905641308,64.29513284319054,64.65569594706578,64.21843305515809,63.108682399260545,61.44433268359745,59.32328315835375,56.83120985210797,54.03747676404784,51.00645625497052,47.78374906198702,44.41242110336248,1,33.77302579,24.00524951,51.57274128,38.05402782,49.13122603,47.2988227,107720.118,183326.96,6.6,1.54,0.42,15.16,22.84,42.132,35.028,19.3,6.86,28.088,54.928,34.73,10.343,0.0,51.4,182,385,26.64165103,1.574437091,29.31754875,1.462697589
107742.6066,183329.8573,22.044875784242944,27.92413294570391,36.717116497126156,46.004960282316645,54.44570165164617,61.44218247614234,66.82370437582087,70.62972784226538,72.99976011907981,74.10716637407111,74.12980306199981,73.23334487800815,71.56871867882349,69.26189642399866,66.42567189433346,63.153648010004325,59.521239576679314,55.600433751475805,6,30.5802835,17.69419632,53.30390305,33.11248811,55.67226945,49.87164358,107742.651,183330.207,6.5,1.53,0.42,9.941,15.97,45.215,38.815,16.8,6.99,14.162,26.589,43.811,29.6,0.0,53.6,70,139,33.73107614,1.365829524,48.08610364,1.173519424
107759.2968,183312.8793,10.462825909340673,11.969341600749583,14.709837895697966,18.105180188079384,21.741130574994184,25.381388340608584,28.904491402855175,32.25339820634079,35.40660827921081,38.36115622536877,41.12557898896507,43.71038328725046,46.130481731979614,48.39892499791521,50.52815468983467,52.53032654701234,54.41623612627755,56.19708925320328,8,18.19225632,10.07809874,34.41809088,16.60234745,43.6203253,25.54686417,107758.685,183312.601,7.23,1.46,0.45,6.785,12.324,45.037,42.639,15.5,6.33,7.612,16.873,46.152,36.975,0.0,46.3,51,128,34.63788741,1.288314701,19.43796712,1.703594511
107776.717,183310.7214,13.395200887850953,21.30214961478994,33.31777631312681,46.31570197165747,58.490973518549545,68.98617990773242,77.49566128340867,84.00853639167424,88.65918262515058,91.64251272898622,93.1697208206046,93.44527025965024,92.65615781239691,90.96697151448943,88.52159735563157,85.44413258413303,81.83969129961122,77.80007870860697,9,33.32738735,16.06969974,62.76523504,34.28350934,71.97913978,59.24337982,107776.692,183310.756,6.56,1.45,0.45,6.147,11.631,49.871,38.498,12.5,7.24,8.751,18.018,45.765,36.217,0.0,44.4,44,118,31.79564561,1.41757398,34.69276357,1.306241914
107765.7317,183326.8629,2.7394697831024355,6.005386804658404,11.39085358859595,17.618790603183307,23.860366442000878,29.66845983500249,34.838856009635975,39.30661622491032,43.07936649888999,46.20272332846173,48.738038215891464,50.75027512664762,52.30518213846945,53.46138983337705,54.27302852735361,54.78709304173609,55.04492840806684,55.08051601094703,11,15.78210849,7.505192168,34.35894871,15.58515782,44.4795726,29.06912524,107766.469,183327.314,6.19,1.54,0.42,5.176,11.694,49.72,38.585,14.2,6.75,4.891,12.692,54.808,32.5,0.0,42.9,59,167,30.24463092,1.432343558,21.54275565,1.605707855
107777.1364,183299.3509,9.567417091556484,17.03395165420858,28.666999714646945,41.58533591576107,54.055974470680624,65.20402724702824,74.67331074799971,82.39680686269645,88.45171343466741,92.98729612309565,96.1729925757197,98.1819543584719,99.17590265825633,99.30178357579379,98.6889815301935,97.44823757167961,95.67598281445031,93.45464390078132,12,34.02110206,15.08889009,65.50048374,32.56278204,80.44886728,59.54638033,107777.021,183299.37,6.49,1.66,0.37,7.247,12.271,47.864,39.866,13.7,7.24,8.064,16.931,50.535,32.534,0.0,46.9,49,120,30.13630906,1.442223897,21.52747594,1.640441829
107732.9079,183327.5135,39.213647504197326,44.29889995403561,51.711334555358114,59.24469247911722,65.72257887231305,70.66529982058461,73.97565096362234,75.74212314414183,76.13156367231916,75.33308625672188,73.53116624126872,70.8948864557214,67.57082954104952,63.68420276562879,59.34285875372606,54.634962227187856,49.638772377117256,44.41362768819829,14,37.24646225,24.51593054,55.90958467,41.22794865,52.48592342,54.3870146,107732.66,183327.436,6.79,1.47,0.45,13.421,22.237,38.55,39.213,18.9,6.92,7.14,12.707,11.525,75.767,0.0,48.5,81,188,29.89298789,1.446807559,16.70795486,1.850271706
107776.2108,183291.6173,13.450704813160126,21.54740012335675,33.9433942354106,47.54782229664551,60.56304467405057,72.11643458893136,81.87916124492396,89.81092529028705,96.01786871616271,100.66812746372904,103.95157816991923,106.04947144153438,107.13124453089733,107.34758818414963,106.82918264375704,105.69070284559626,104.03033721030992,101.93129983850848,15,39.43384933,17.47466583,73.50758927,36.19887986,87.42168542,64.59484184,107776.543,183291.428,6.76,1.51,0.43,9.322,15.223,46.155,38.621,14.0,7.45,10.744,22.892,50.941,26.167,0.0,35.7,54,204,30.99264706,1.385284625,22.41431421,1.685056143
