x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_2.00,EC_end,pos
107741.0847,183334.8013,9.070779996024834,17.22172230802314,29.790210835184276,43.2971495081661,55.72096323129259,66.13286874854559,74.23829564941063,80.0739351877776,83.82606096869453,85.73915448535921,86.06335251947922,85.03765196382001,82.87666857095375,79.77017981577967,75.8813184794212,71.34404648598341,66.2737145247736,60.765537758329415,54.90553244921008,48.75881466305367,42.38637170645194,6.441672795
107741.2896,183334.4438,10.162137545637208,18.415061046228058,31.051343438610406,44.55122745746908,56.89804528952133,67.1819054897475,75.12275636671197,80.77225158789393,84.32579999063637,86.03830110501353,86.16426395146902,84.94539066140742,82.5951715341696,79.30730546528714,75.24104911972618,70.5354507212501,65.30469256113551,59.649584682057565,53.65015720460147,47.3746758136333,40.880304728282425,6.853693723
107741.4441,183334.1826,10.937265930009302,19.200991368739242,31.874283395493737,45.40217776870826,57.75012886720628,67.99921146640482,75.8778121684858,81.43825473035766,84.88595540979239,86.47534808613395,86.46712883230278,85.10569510736495,82.60754962359489,79.16756419386775,74.9465459998609,70.08375199895812,64.69470864899978,58.878375791502975,52.716585989055076,46.27851991657043,39.62241413214883,7.157151502
107741.6123,183333.9053,11.005344058611882,19.576889150104545,32.602602997953454,46.42207935739917,58.97100585053709,69.33604167311199,77.25253854979879,82.79005344622159,86.16217713516781,87.63461907058698,87.47788112024666,85.94326483758036,83.2539244800902,79.60808833349002,75.17033443994534,70.08211551887304,64.46155302391674,58.41046306348865,52.0135959264802,45.34200382232294,38.44990711643592,7.48146801
107741.8025,183333.5985,11.453998669697295,20.130610656895346,33.33828624038437,47.35982021883609,60.086750981338774,70.59013806752138,78.59654389571493,84.17415083139431,87.53424630494455,88.94783903289405,88.6905104532746,87.02160054492947,84.17675513365535,80.35204601581977,75.72150030002159,70.4248049158362,64.58988664252932,58.315650973097505,51.682690604143474,44.762909906120356,37.61995342415835,7.842468204
107741.9985,183333.2887,10.359400959106125,19.602510620192433,33.58235797661771,48.37340191706341,61.766249175957974,72.78449601238965,81.14859022708426,86.93323653705627,90.37142088042785,91.75399241155179,91.37444654489323,89.50680684425743,86.3951825729801,82.25196600235958,77.25794039741959,71.56597344255084,65.3046960156945,58.58157861709976,51.488056677988425,44.09946389173764,36.479852312127164,8.209021433
107742.1543,183333.0465,10.068425121327762,19.36943135053928,33.429966525133636,48.29739534243425,61.75386717560319,72.81922955418553,81.2176164270093,87.03124293172222,90.50019578084229,91.91742122198819,91.5776052149873,89.75470662042241,86.69396612399996,82.60785469526746,77.67752162835467,72.05473353630587,65.86662939524841,59.22538227949641,52.21681341660194,44.92169549423097,37.39492457556637,8.497024697
107742.3004,183332.821,9.89201991101718,19.1434233854207,33.1735442502549,48.04998612219383,61.54462381190451,72.66664945098597,81.13242647537072,87.01503750613388,90.55665353996615,92.0457157642862,91.77532409451784,90.0170184421518,87.01344022980436,82.98009859065739,78.0983980524523,72.51870794837646,66.36811464054878,59.75310746397291,52.771775150042956,45.494761855214556,37.98990143987942,8.765721107
107742.4589,183332.5787,10.060733058830639,19.152971850807166,33.01134842685676,47.767408029281206,61.210009085862445,72.3324703882917,80.83592211215162,86.77901215453039,90.39376813982862,91.96001175426689,91.76697866416309,90.07600830091283,87.13061708866678,83.14569289312007,78.30082249864255,72.75003434882777,66.62032489194384,60.02430421872801,53.048301366508234,45.77437283002279,38.25475450711224,9.05524951
107742.6913,183332.2269,11.40963305982121,20.082570505986396,33.400246402316206,47.65012408073329,60.681083045689675,71.50891625025628,79.82329212793022,85.66705702633458,89.24337189659228,90.82123468192457,90.67127844262748,89.06008047425048,86.218070276068,82.35363709742522,77.63856405348488,72.22524457589691,66.23272846767911,59.774577745712875,52.93870681053691,45.801566629862904,38.42707493527582,9.476893614
107742.8523,183331.9855,12.099938411220043,20.574911054919134,33.60454495155603,47.55371723405658,60.31577227869595,70.92023700505212,79.06004204316045,84.77961315012183,88.276915499295,89.81655310589109,89.66472268258354,88.07585440330028,85.27522203843644,81.46981918165204,76.82825162698448,71.50119288015713,65.61098593247519,59.26182451583091,52.53989364415416,45.52174318649713,38.26755614694198,9.767041975
107743.0684,183331.6638,11.505910901329013,20.05500540764175,33.183504896714666,47.24642737517177,60.123723429602116,70.84088981757677,79.08952923990557,84.89957925771833,88.47217102774454,90.06167769987131,89.94119692471442,88.36651616127872,85.56829447535503,81.74953759687328,77.08182588517954,71.71669880147073,65.77784904265164,59.370726245852225,52.58468167443652,45.492396454739364,38.15866928434166,10.15460981
107743.2477,183331.3985,10.93295805560336,19.52936578561724,32.67278348356305,46.725505651449,59.58894259481298,70.3021577087692,78.5544457201445,84.38605670229384,87.99145213478073,89.6280949692372,89.56375795824515,88.05321668081297,85.32805177652618,81.58564526701849,77.00173690442683,71.72300970679669,65.87234004511541,59.554205617749034,52.8585227424428,45.8601108830723,38.62196287586409,10.47475097
107744.0321,183330.2499,9.807070004406091,18.452061586376164,31.754736765926715,46.038205061974296,59.1585006573527,70.11772651434485,78.58989895777621,84.60276315417084,88.34784482297732,90.0838629363054,90.0814028541169,88.59606491525108,85.86195323645764,82.08447105016819,77.43895027211991,72.07574003885979,66.12429662935801,59.69032617633555,52.86533542060961,45.72765225519574,38.33967254177517,11.86566661
107744.8642,183329.0316,9.624123081519201,18.18286333444922,31.250537530764646,45.18217812641977,57.90012774895421,68.47139445013511,76.61416386347541,82.38188081029647,85.97984595718339,87.66976952074192,87.71826680971795,86.37558077326295,83.8649804811064,80.38187795134775,76.09521197289166,71.14566846193898,65.65242515187127,59.71550769560708,53.42251810735336,46.84471100150685,40.04128404159657,13.34107593
107744.9025,183328.9748,9.66100665266133,18.03583370148372,30.903227836807755,44.69436801534042,57.34671817536831,67.91494896507011,76.10209394219059,81.94395361778518,85.63421163419447,87.42488305397943,87.57534465770175,86.3319481915076,83.91482733973687,80.52165287112773,76.31688626777984,71.44265067837871,66.01763315753166,60.142879563353645,53.904484152110086,47.3735266489613,40.609895681500696,13.40953368
107744.9599,183328.8897,9.760423856440951,17.96953050007469,30.667402112229286,44.35279932448247,56.972903155291576,67.56600557421622,75.81176336523913,81.72963912463415,85.50378726195375,87.37267219978003,87.58932321736224,86.3979603928023,84.01824206225967,80.64817211156262,76.45417230328698,71.57657661904567,66.13408709380194,60.22981120355423,53.94620657504555,47.36490315072292,40.540284462824204,13.51217919
107745.0172,183328.8047,9.948176314678598,17.895150381551904,30.291199680682553,43.7437646530172,56.22754464500373,66.77463930592296,75.04839490336276,81.04836441746266,84.9356283335562,86.93880048358677,87.3018503763533,86.26000245426685,84.02905007162003,80.80184501178944,76.74196821982324,71.98983674982759,66.66767169854822,60.875809068114116,54.7025548055748,48.22070740740897,41.490133542836695,13.61468987
107745.0934,183328.6915,9.485417754162746,17.541709501028702,30.064494133742613,43.623509472656906,56.187503609165276,66.79464313160476,75.11447868104143,81.15270998779779,85.07593828264054,87.11550801357967,87.51763646503986,86.5194194969588,84.3358229342468,81.15684930886644,77.14792688320749,72.45083832367703,67.18533115612158,61.45290805605679,55.34017961374378,48.92016709884898,42.2522616781991,13.75118261
107745.1692,183328.5784,8.952877948329709,17.122955967390794,29.847116394058528,43.62124956176742,56.37190552212323,67.1214455537575,75.53956056594792,81.63500963248187,85.5853700311838,87.62453939966123,88.00426621570757,86.96921243548677,84.73543928591717,81.49899882965131,77.42639289328805,72.66222958098486,67.32879980237891,61.52765368993692,55.34243050276707,48.8474833050832,42.10349588695399,13.8873376
107745.2729,183328.4227,8.356024534744524,16.56717264072063,29.3668667263818,43.226597721956075,56.059828105312185,66.88706041680197,75.37971427725333,81.55067119344353,85.57769239384722,87.70033797309186,88.17162203703431,87.23403842427356,85.10788030138727,81.98612788852581,78.03607188105977,73.3998155267487,68.19548486072962,62.527578337799255,56.480904580073286,50.12780215647397,43.52971586029346,14.07442788
107745.3904,183328.2455,8.644249786493528,16.883811070042242,29.605062842994215,43.280878571629636,55.876552765351796,66.45598429210072,74.72976800188333,80.72778740757293,84.64054264647962,86.70993711482771,87.19285926349347,86.32428389842129,84.31806937435817,81.36129872560453,77.6156676034235,73.21937475401522,68.28693542460749,62.915305851434205,57.18651727249794,51.16797661211716,44.918372166357834,14.28705304
107745.5145,183328.0578,10.414378337400548,18.449486991352575,30.79724326127152,44.030819574206696,56.18344723650122,66.36359721133381,74.2989277958888,80.03073664256101,83.74564809158609,85.682460606261,86.08685766820541,85.18788799799628,83.1947897229965,80.29001727430482,76.62857299407607,72.3405439639426,67.53829376855806,62.31665625346426,56.75530980287107,50.919538366291036,44.86538023742552,14.5120241
107745.6618,183327.8343,12.51206360847684,20.228554444054108,32.0681401066928,44.716800445752256,56.28791292303472,65.93560604320095,73.41385916774664,78.7718065028974,82.19198907754424,83.91482175795527,84.17374639888752,83.19965907469737,81.18704264618697,78.30983751544348,74.71511285721013,70.52818966227008,65.86009899739729,60.79449479015425,55.41237750725095,49.77029251304512,43.92766009963017,14.77971508
107745.9039,183327.4662,17.157327468037106,24.37004729974722,35.498649195917885,47.408648111583844,58.28549544550248,67.29935559011108,74.19868913998293,79.02466626350737,81.95197920259808,83.20760198986517,83.02350753930479,81.61914991838239,79.19129146677493,75.91392719533995,71.93182231840173,67.3692031640224,62.332608923180025,56.91002816939825,51.177011257486726,45.193799859490575,39.013663198025235,15.22028235
107745.9738,183327.3598,17.61174835803412,25.099115484162127,36.48359364336838,48.51019076498621,59.35847894642607,68.2438350693442,74.95615947080574,79.5702793159084,82.28590063881066,83.342907467315,82.98119068351764,81.42339268713393,78.86628340781014,75.48154292225334,71.4142350818741,66.78681598398994,61.70515720818357,56.256500890624054,50.514132973035714,44.53566877886075,38.37361541040353,15.34757694
107745.9938,183327.3293,16.14846389341869,24.19362072615315,36.45681230426383,49.451334594829845,61.204274315814345,70.84422574851233,78.12421931566803,83.10900375635887,86.00714751703678,87.07627766738756,86.57795744824453,84.75463332430203,81.82697983855729,77.98652004357399,73.39530295905455,68.18867559601571,62.479308161902836,56.3613849498052,49.91281123719213,43.19878470331952,36.2754626608776,15.38405255
