,x,y,z,t,PRP2.1,PRP2.1_inph,HCP2.0,HCP2.0_inph,PRP1.1,PRP1.1_inph,HCP1.0,HCP1.0_inph,PRP0.6,PRP0.6_inph,HCP0.5,HCP0.5_inph,x_query,y_query,z_query,pos
21,107741.582,183333.9795,25.75716746,44134.2058,50.43417047,-0.331688883,52.52891316,1.206412544,33.33986055,0.764865753,52.26293985,0.88256266,16.48294783,0.924360746,26.43175591,0.839081151,107741.3821,183333.8929,25.77747918,9.909024796
22,107741.582,183333.9795,25.75716746,44134.2058,50.43417047,-0.331688883,52.52891316,1.206412544,33.33986055,0.764865753,52.26293985,0.88256266,16.48294783,0.924360746,26.43175591,0.839081151,107741.4339,183333.7826,25.77747918,10.03088262
23,107741.768,183333.7143,25.77357101,44134.10154,50.43417047,-0.311688883,52.52891316,1.206412544,33.43986055,0.764865753,52.26293985,0.88256266,16.48294783,0.924360746,26.53175591,0.839081151,107741.5151,183333.6087,25.79090202,10.22280618
24,107741.768,183333.7143,25.77357101,44134.10154,50.43417047,-0.311688883,52.52891316,1.206412544,33.43986055,0.764865753,52.26293985,0.88256266,16.48294783,0.924360746,26.53175591,0.839081151,107741.5961,183333.4358,25.80635516,10.41373917
25,107742.1059,183333.2263,25.78710872,44133.90143,49.83417047,-0.351688883,52.52891316,1.196412544,33.33986055,0.754865753,52.26293985,0.87256266,16.48294783,0.924360746,26.83175591,0.839081151,107741.7995,183333.0066,25.82034703,10.88869622
26,107741.9062,183331.9753,25.82063201,44068.80382,52.3573537,-0.189367946,54.04676454,1.193052815,35.31403227,0.807653621,54.96677148,0.882869628,17.44863322,0.928608051,28.88890742,0.834935019,107742.238,183332.0824,25.8368975,11.91164681
27,107742.6149,183330.7553,25.8667863,44069.31005,51.5573537,-0.419367946,54.44676454,1.193052815,33.31403227,0.777653621,53.56677148,0.882869628,16.04863322,0.928608051,27.08890742,0.834935019,107742.8764,183330.7632,25.89752511,13.37719899
28,107742.7788,183330.4677,25.87458767,44069.41577,51.4573537,-0.399367946,55.24676454,1.193052815,32.91403227,0.777653621,53.56677148,0.882869628,15.94863322,0.928608051,26.98890742,0.844935019,107742.9722,183330.5436,25.89723178,13.61678572
29,107743.0584,183329.9823,25.89031709,44069.61354,51.1573537,-0.419367946,56.54676454,1.223052815,32.11403227,0.767653621,53.66677148,0.882869628,16.14863322,0.928608051,27.18890742,0.834935019,107743.1785,183330.0795,25.90554746,14.12467202
30,107743.2273,183329.695,25.89943859,44069.70755,50.6573537,-0.449367946,56.74676454,1.233052815,32.01403227,0.767653621,53.26677148,0.882869628,16.34863322,0.928608051,27.08890742,0.834935019,107743.3852,183329.6937,25.91541324,14.56235516
31,107743.8151,183328.7066,25.9570201,44070.09573,49.6573537,-0.499367946,54.94676454,1.203052815,32.81403227,0.747653621,52.16677148,0.882869628,16.74863322,0.928608051,26.78890742,0.844935019,107743.8433,183328.78,25.93801195,15.58446244
32,107744.1436,183328.1376,25.97918076,44070.30709,49.5573537,-0.519367946,55.34676454,1.173052815,32.81403227,0.747653621,53.16677148,0.872869628,16.74863322,0.928608051,27.38890742,0.844935019,107744.2404,183328.1636,25.96328381,16.31770004
33,107744.7695,183327.0753,26.01516744,44070.70758,50.45732601,-0.429299489,56.54543807,1.183047066,34.11514289,0.757711598,54.76019857,0.882866421,17.84995913,0.928595844,29.38634602,0.834954758,107744.8833,183327.2233,26.00206637,17.45677181
34,107744.9384,183326.809,26.02109503,44070.80186,50.55734827,-0.439138706,55.94290425,1.193033954,34.91550922,0.757715501,55.05834889,0.882865976,18.05022952,0.928593203,29.48634602,0.834954758,107745.0414,183326.9945,26.01342613,17.73488159
35,107745.2502,183326.3364,26.03263735,44070.996,51.15750646,-0.448835186,54.83725645,1.203005958,35.61550922,0.757715501,55.45834889,0.892865976,17.85022952,0.928593203,29.68634602,0.834954758,107745.3869,183326.4796,26.01835182,18.35495599
36,107745.9771,183325.2986,26.07009822,44071.41555,52.55750646,-0.428835186,56.23725645,1.173005958,34.61550922,0.767715501,56.95834889,0.872865976,16.65022952,0.938593203,28.48634602,0.834954758,107746.2056,183325.3316,26.05353683,19.76498212
37,107746.3063,183324.8272,26.09168787,44071.61494,51.25750646,-0.438835186,55.53725645,1.173005958,33.41550922,0.757715501,54.15834889,0.882865976,16.25022952,0.928593203,26.48634602,0.834954758,107746.5186,183324.8727,26.08612044,20.32046228
38,107746.7427,183324.1715,26.12071934,44071.89767,48.95750646,-0.448835186,52.93725645,1.223005958,31.01550922,0.777715501,50.45834889,0.892865976,14.05022952,0.938593203,24.08634602,0.834954758,107746.9148,183324.3147,26.1261914,21.00481485
39,107746.9064,183323.918,26.13008351,44071.99602,48.65750646,-0.408835186,53.03725645,1.223005958,30.01550922,0.777715501,50.05834889,0.882865976,13.35022952,0.938593203,23.48634602,0.834954758,107747.0522,183324.1121,26.127517,21.24961175
40,107747.0573,183323.6789,26.1393539,44072.09762,48.25750646,-0.338835186,53.63725645,1.233005958,28.91550922,0.787715501,49.65834889,0.882865976,12.65022952,0.938593203,22.98634602,0.834954758,107747.2203,183323.8564,26.12544622,21.55561845
41,107747.2109,183323.4309,26.14865278,44072.20232,47.95750646,-0.288835186,54.93725645,1.233005958,27.71550922,0.797715501,49.55834889,0.872865976,12.15022952,0.938593203,22.68634602,0.834954758,107747.4068,183323.5765,26.11021493,21.89196092
42,107747.3698,183323.1702,26.15777884,44072.30801,47.75750646,-0.288835186,56.93725645,1.213005958,26.61550922,0.797715501,49.95834889,0.872865976,11.65022952,0.938593203,22.68634602,0.834954758,107747.5824,183323.3058,26.1194648,22.2146277
43,107747.5277,183322.9077,26.16677602,44072.41361,47.35750646,-0.308835186,59.43725645,1.163005958,25.71550922,0.797715501,50.85834889,0.882865976,11.55022952,0.938593203,23.08634602,0.834954758,107747.7492,183323.0464,26.13851067,22.52302776
44,107747.6792,183322.6547,26.17559513,44072.51491,47.05750646,-0.318835186,62.03725645,1.133005958,25.01550922,0.797715501,51.85834889,0.882865976,11.85022952,0.938593203,23.68634602,0.834954758,107747.8896,183322.8344,26.14806448,22.77730352
45,107747.8375,183322.3915,26.18427763,44072.61222,46.85750646,-0.298835186,64.03725645,1.143005958,24.81550922,0.797715501,52.65834889,0.892865976,12.75022952,0.938593203,24.38634602,0.834954758,107748.0289,183322.6243,26.15512974,23.02938783
46,107747.9669,183322.1769,26.18427763,44072.70706,46.25750646,-0.278835186,64.83725645,1.173005958,25.31550922,0.797715501,52.75834889,0.892865976,14.25022952,0.938593203,25.28634602,0.834954758,107748.2123,183322.3533,26.16066083,23.35661338
47,107748.1097,183321.9421,26.19287345,44072.80211,45.45750646,-0.288835186,64.43725645,1.203005958,27.01550922,0.797715501,52.45834889,0.882865976,16.15022952,0.938593203,26.48634602,0.834954758,107748.3975,183322.0849,26.16623904,23.68270785
48,107748.2622,183321.6928,26.20144057,44072.8972,44.95750646,-0.308835186,62.93725645,1.213005958,29.51550922,0.777715501,52.35834889,0.882865976,17.95022952,0.938593203,28.08634602,0.834954758,107748.5673,183321.8402,26.18068549,23.9805503
49,107748.3936,183321.4787,26.20974879,44072.99501,45.35750646,-0.358835186,60.63725645,1.213005958,32.41550922,0.767715501,52.95834889,0.882865976,19.15022952,0.938593203,29.58634602,0.834954758,107748.748,183321.5833,26.20575146,24.29463644
50,107748.5493,183321.2251,26.21764302,44073.09806,46.25750646,-0.408835186,57.93725645,1.203005958,35.21550922,0.757715501,54.05834889,0.882865976,19.75022952,0.938593203,30.78634602,0.834954758,107748.9047,183321.3637,26.22529174,24.56441236
51,107748.7031,183320.9739,26.22473449,44073.20327,47.85750646,-0.438835186,55.33725645,1.183005958,37.51550922,0.757715501,55.65834889,0.872865976,19.95022952,0.938593203,31.58634602,0.834954758,107749.0697,183321.1271,26.24061709,24.85286437
52,107748.8805,183320.684,26.23090049,44073.30945,50.45750646,-0.418835186,53.83725645,1.183005958,38.91550922,0.757715501,57.15834889,0.872865976,19.95022952,0.938593203,32.08634602,0.834954758,107749.2554,183320.8571,26.24788461,25.1805601
53,107749.0318,183320.4383,26.23637124,44073.4144,53.25750646,-0.398835186,53.53725645,1.193005958,39.61550922,0.767715501,58.55834889,0.872865976,19.65022952,0.938593203,32.38634602,0.834954758,107749.3988,183320.6485,26.25243307,25.43369548
54,107749.204,183320.1623,26.2416404,44073.51693,55.65750646,-0.408835186,54.43725645,1.203005958,39.81550922,0.767715501,59.95834889,0.872865976,19.35022952,0.928593203,32.58634602,0.834954758,107749.529,183320.4525,26.25463525,25.66899962
55,107749.3617,183319.9122,26.24704886,44073.61428,57.35750646,-0.438835186,55.83725645,1.203005958,39.71550922,0.757715501,61.25834889,0.872865976,19.15022952,0.938593203,32.78634602,0.834954758,107749.6842,183320.2145,26.25657204,25.9531317
56,107749.5108,183319.682,26.25308738,44073.7091,58.35750646,-0.458835186,57.23725645,1.193005958,39.61550922,0.757715501,62.25834889,0.882865976,18.85022952,0.938593203,32.88634602,0.834954758,107749.8181,183320.0091,26.25657204,26.19832218
57,107749.6606,183319.4538,26.25995622,44073.80315,58.85750646,-0.468835186,58.33725645,1.183005958,39.31550922,0.757715501,62.55834889,0.882865976,18.85022952,0.938593203,32.68634602,0.834954758,107749.9736,183319.7682,26.26953527,26.48505038
58,107749.8108,183319.2322,26.2672613,44073.89916,58.85750646,-0.488835186,59.03725645,1.183005958,38.91550922,0.757715501,62.05834889,0.872865976,18.85022952,0.938593203,32.48634602,0.834954758,107750.138,183319.5111,26.28853024,26.79021881
59,107749.9682,183319.0026,26.27481349,44073.997,58.55750646,-0.508835186,59.33725645,1.213005958,38.71550922,0.747715501,61.35834889,0.872865976,18.95022952,0.928593203,32.28634602,0.834954758,107750.2858,183319.2843,26.291,27.06092728
60,107750.1438,183318.7556,26.2897178,44074.09919,57.75750646,-0.498835186,59.13725645,1.223005958,38.51550922,0.757715501,60.65834889,0.872865976,18.85022952,0.928593203,31.98634602,0.834954758,107750.4389,183319.053,26.291,27.33830663
61,107750.3327,183318.4949,26.29682095,44074.20461,56.85750646,-0.478835186,58.23725645,1.213005958,38.31550922,0.757715501,59.85834889,0.872865976,18.75022952,0.938593203,31.58634602,0.844954758,107750.6005,183318.8097,26.29582151,27.63038444
62,107750.5089,183318.258,26.30394313,44074.31197,56.35750646,-0.438835186,56.93725645,1.193005958,38.01588399,0.767715501,58.75155843,0.882863024,18.55084708,0.938593203,31.080034,0.845016628,107750.7639,183318.5682,26.30716404,27.92196944
