,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_end,ID,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,x_query,y_query,pH_H2O_10cm,bd_10cm_23,por_10cm,CEC_10cm,clay_10cm,silt_10cm ,sand_10cm,TOC_10cm ,pH_H2O_50cm,CEC_50cm,clay_50cm,silt_50cm,sand_50cm,TOC_50cm,vmc_hydra,EC_bulk_hydra,EC_water_hydra,vwc_10cm,bd_10cm,vwc_50cm,bd_50cm
0,107720.7017,183327.3371,38.972526892282794,42.354288001302,47.4380562241125,52.66659392113672,57.18623239077564,60.65280993262992,63.00013671440169,64.29534184523145,64.65580608321262,64.218415310324,63.10864327079978,61.4443792828931,59.323387299160615,56.83127004000758,54.03763372625079,51.00642131606921,47.783640171644414,44.41234184732482,1,33.77302579,24.00524951,51.57274128,38.05402782,49.13122603,47.2988227,107720.118,183326.96,6.6,1.54,0.42,15.16,22.84,42.132,35.028,19.3,6.86,28.088,54.928,34.73,10.343,0.0,51.4,182,385,26.64165103,1.574437091,29.31754875,1.462697589
5,107742.6066,183329.8573,22.045069265934583,27.924264653983663,36.71740432847091,46.00509450013033,54.44585677941455,61.44207423474689,66.82357008977517,70.6294481654864,72.99939706551403,74.10646494510151,74.12870601224401,73.23192482494305,71.5677479909906,69.26110183676072,66.42542855381701,63.15369232487667,59.52143694430615,55.60079319044208,6,30.5802835,17.69419632,53.30390305,33.11248811,55.67226945,49.87164358,107742.651,183330.207,6.5,1.53,0.42,9.941,15.97,45.215,38.815,16.8,6.99,14.162,26.589,43.811,29.6,0.0,53.6,70,139,33.73107614,1.365829524,48.08610364,1.173519424
7,107759.2968,183312.8793,10.462821017028716,11.969322501441855,14.709818852946539,18.10515881641502,21.741117837514203,25.38142638397818,28.904568295067737,32.2534679523348,35.406668243247914,38.36118995703112,41.12559944686318,43.71038596820139,46.13048516186795,48.398916769447,50.52814521587422,52.530320201408394,54.416233934927156,56.19707293773531,8,18.19225632,10.07809874,34.41809088,16.60234745,43.6203253,25.54686417,107758.685,183312.601,7.23,1.46,0.45,6.785,12.324,45.037,42.639,15.5,6.33,7.612,16.873,46.152,36.975,0.0,46.3,51,128,34.63788741,1.288314701,19.43796712,1.703594511
8,107776.717,183310.7214,13.394969687097017,21.30207927529852,33.31793169188027,46.31590529758921,58.49104455040217,68.98632646722416,77.4958958350207,84.00884161557505,88.65942318865264,91.64267193945967,93.1698773018749,93.44534283677257,92.65620776226014,90.9669594927012,88.52158188290161,85.44413612553973,81.83968896812193,77.800039378961,9,33.32738735,16.06969974,62.76523504,34.28350934,71.97913978,59.24337982,107776.692,183310.756,6.56,1.45,0.45,6.147,11.631,49.871,38.498,12.5,7.24,8.751,18.018,45.765,36.217,0.0,44.4,44,118,31.79564561,1.41757398,34.69276357,1.306241914
10,107765.7317,183326.8629,2.739465375057812,6.005419251522819,11.390912082646949,17.61880745627707,23.860376460502223,29.66847710069133,34.83892593047816,39.30665805556879,43.079343055603296,46.20263214689063,48.73787475778666,50.7500718830589,52.30497986087948,53.46119000609102,54.272852960421396,54.78699052088942,55.04486708243372,55.08054579600676,11,15.78210849,7.505192168,34.35894871,15.58515782,44.4795726,29.06912524,107766.469,183327.314,6.19,1.54,0.42,5.176,11.694,49.72,38.585,14.2,6.75,4.891,12.692,54.808,32.5,0.0,42.9,59,167,30.24463092,1.432343558,21.54275565,1.605707855
11,107777.1364,183299.3509,9.567456554000307,17.0340094734285,28.667177426857304,41.585238297295135,54.05599273896234,65.20398215653252,74.67333981513949,82.39703414544061,88.45184784874897,92.98735963789285,96.17312487870828,98.18207973036037,99.17625642935859,99.30220495703033,98.68887665622273,97.44794108842696,95.67560030854288,93.45441326621903,12,34.02110206,15.08889009,65.50048374,32.56278204,80.44886728,59.54638033,107777.021,183299.37,6.49,1.66,0.37,7.247,12.271,47.864,39.866,13.7,7.24,8.064,16.931,50.535,32.534,0.0,46.9,49,120,30.13630906,1.442223897,21.52747594,1.640441829
13,107732.9079,183327.5135,39.21345674056846,44.29876933893696,51.71131013323843,59.2448263212829,65.72274792635255,70.66553004514626,73.97600222491924,75.7423823210658,76.13172509653789,75.33316188804655,73.53110096738986,70.89479027991926,67.57069141528005,63.684067090558756,59.34273459162969,54.63480412657388,49.638615952510186,44.413595687137494,14,37.24646225,24.51593054,55.90958467,41.22794865,52.48592342,54.3870146,107732.66,183327.436,6.79,1.47,0.45,13.421,22.237,38.55,39.213,18.9,6.92,7.14,12.707,11.525,75.767,0.0,48.5,81,188,29.89298789,1.446807559,16.70795486,1.850271706
14,107776.2108,183291.6173,13.45102277087442,21.547248771033733,33.94309616893042,47.547668074672025,60.56302350333573,72.11675055291849,81.87922827674613,89.81103406159629,96.01824128921838,100.66900589723237,103.95213008972844,106.04969439948873,107.13165990606436,107.34735353709935,106.82911536804215,105.69025041535284,104.03003528376757,101.93139581681335,15,39.43384933,17.47466583,73.50758927,36.19887986,87.42168542,64.59484184,107776.543,183291.428,6.76,1.51,0.43,9.322,15.223,46.155,38.621,14.0,7.45,10.744,22.892,50.941,26.167,0.0,35.7,54,204,30.99264706,1.385284625,22.41431421,1.685056143
