,x,y,EC_0.60,EC_1.00,EC_end
0,107716.69483278914,183322.04204638585,35.33498664498371,36.70050663055254,37.33022563454595
1,107716.69459098576,183322.0421102988,35.31779078644454,36.67498009874118,37.29948396983177
2,107716.69439314627,183322.04216259345,35.31779078644454,36.67498009874118,37.29948396983177
3,107716.69423927122,183322.04220326524,35.352182319901246,36.72603610056489,37.36096733173879
4,107716.69414782544,183322.04222743865,35.38657217942526,36.777094718146735,37.42244431376229
5,107716.69408451684,183322.04224416893,35.38657217942526,36.777094718146735,37.42244431376229
6,107716.69404494896,183322.0422546296,35.369376073737115,36.751561800738685,37.39170685872979
7,107716.69405180842,183322.04225536715,35.352182319901246,36.72603610056489,37.36096733173879
8,107716.6925789308,183322.0426421305,35.40636394855579,36.76592268970913,37.38470696323489
9,107716.6917844858,183322.0428521214,35.40636394855579,36.76592268970913,37.38470696323489
10,107716.68953133776,183322.04344767984,35.529351026430724,36.90794752055615,37.53136748028018
11,107716.685980702,183322.0443861941,35.22923577864252,36.58404915015947,37.21423847478801
12,107716.68532152096,183322.04456042964,35.263614692945836,36.6350995272572,37.27573903451347
13,107716.68493026786,183322.0446638465,35.280806722188906,36.66062520418433,37.30648221857679
14,107716.68449638603,183322.04494345188,35.280806722188906,36.66062520418433,37.30648221857679
15,107716.684112223,183322.0448800763,35.29800155812423,36.686153385553915,37.33722625887576
16,107716.68378457655,183322.0449666781,35.332390334077736,36.73720683902394,37.398709498618985
17,107716.6834979247,183322.0450399472,35.34958579140018,36.76273445831158,37.42944779865757
18,107716.68320262054,183322.0451205065,35.332390334077736,36.73720683902394,37.398709498618985
19,107716.68301220814,183322.04517083336,35.29800155812423,36.686153385553915,37.33722625887576
20,107716.67616035332,183322.04698193632,35.53193552931775,36.87124175682839,37.46290320046229
21,107716.67614563512,183322.04698582925,35.497536180958036,36.820171711999436,37.40143322910383
22,107716.67613093268,183322.046989712,35.46313757497651,36.76910865613577,37.3399641024402
23,107716.67611995238,183322.0469926149,35.4287474962305,36.718048683532786,37.278482863133874
24,107716.67610846295,183322.04699565092,35.44594190012545,36.743579887658136,37.30922704809899
25,107716.67610077532,183322.04699768405,35.46313757497651,36.76910865613577,37.3399641024402
26,107716.67609345802,183322.04699961748,35.46313757497651,36.76910865613577,37.3399641024402
27,107716.67609238022,183322.0469999025,35.46313757497651,36.76910865613577,37.3399641024402
28,107716.67609220315,183322.0469999481,35.480336111222975,36.79463923165406,37.37069987013391
29,107716.67592848936,183322.0470432239,35.4287474962305,36.718048683532786,37.278482863133874
30,107716.67334222895,183322.04771556705,35.4287474962305,36.718048683532786,37.278482863133874
31,107716.67164287328,183322.04817601107,35.40636394855579,36.76592268970913,37.38470696323489
32,107716.66513291052,183322.04989674035,35.352182319901246,36.72603610056489,37.36096733173879
33,107716.66499736036,183322.0499325693,35.31779078644454,36.67498009874118,37.29948396983177
34,107716.66166696652,183322.05081287023,35.354773971703224,36.68933587327902,37.292485426553206
35,107716.66058600647,183322.05109859165,35.320390078406284,36.638282462939856,37.23099411392462
36,107716.65619372354,183322.0524704521,35.37197109578145,36.71486404481506,37.32322592446403
37,107716.65429591626,183322.0527612064,35.423559338434366,36.79145395741672,37.41544397803381
38,107716.65412107584,183322.05250878632,35.509567097485146,36.91912210290323,37.56910321903211
39,107716.65403465682,183322.0528302621,35.45796091656292,36.842521882699934,37.47691006227282
40,107716.65399745664,183322.05284009688,35.37197109578145,36.71486404481506,37.32322592446403
41,107716.64964628982,183322.0539956689,35.47515733018746,36.86805117805911,37.50764475363047
42,107716.648636015,183322.05425724853,35.38916545061818,36.74039162715834,37.35396536658113
43,107716.64612510352,183322.0549209388,35.37197109578145,36.71486404481506,37.32322592446403
44,107716.64342489924,183322.05563466623,35.37197109578145,36.71486404481506,37.32322592446403
45,107716.64309248848,183322.0557225272,35.40636394855579,36.76592268970913,37.38470696323489
46,107716.641681,183322.05609211972,35.415389349463794,36.81955559663802,37.4813133108117
47,107716.63935819408,183322.0567838503,35.44978712661943,36.87061863086419,37.54277565332896
48,107716.63693213316,183322.05735085063,35.432587791983856,36.845086184829064,37.51204588717162
49,107716.63659507566,183322.05743994372,35.39818968265973,36.79402104965599,37.45057566913193
50,107716.63392201305,183322.0581464963,35.36379674886433,36.74295972561394,37.389100366427044
51,107716.63228245328,183322.0585798677,35.36379674886433,36.74295972561394,37.389100366427044
52,107716.63223236387,183322.0585931046,35.3809892647935,36.76849154044874,37.41984270988899
