ID,depth_m,EC_msm
1,0,25.82544379
1,0.05,30.95390071
1,0.1,34.25824176
1,0.15,38.8214668
1,0.2,43.38469185
1,0.25,66.5320122
1,0.3,111.3392857
1,0.35,118.6005435
1,0.4,105.934466
1,0.45,82.03947368
1,0.5,78.21684588
1,0.55,76.03658537
1,0.6,69.49840764
2,0,7.322986577
2,0.05,7.603658537
2,0.1,7.935454545
2,0.15,9.169117647
2,0.2,12.82168038
2,0.25,17.81428571
2,0.3,19.39777778
2,0.35,20.74382129
2,0.4,25.2283237
2,0.45,22.15482234
2,0.5,17.31944444
2,0.55,18.55654762
2,0.6,13.56277191
3,0,14.63615023
3,0.05,18.95960035
3,0.1,21.1868932
3,0.15,25.85604265
3,0.2,36.31031614
3,0.25,119.9038462
3,0.3,169.1666667
3,0.35,161.0516605
3,0.4,154.6598157
3,0.45,185.2504244
3,0.5,175.9879032
4,0,7.225993377
4,0.05,7.397457627
4,0.1,7.79375
4,0.15,8.870934959
4,0.2,12.47
4,0.25,16.74788949
4,0.3,17.12912088
4,0.35,18.73175966
4,0.4,15.6883537
4,0.45,15.72226225
4,0.5,15.42226148
5,0,13.47067901
5,0.05,16.26117735
5,0.1,18.27680067
5,0.15,27.75828088
5,0.2,37.23976109
5,0.25,41.33049242
5,0.3,37.49570447
5,0.35,35.02808989
5,0.4,31.175
5,0.45,38.01829268
5,0.5,42.95767717
5,0.55,46.43085106
5,0.6,41.96634615
6,0,9.57127193
6,0.05,15.2179219
6,0.1,16.30979073
6,0.15,20.52916275
6,0.2,33.67669753
6,0.25,41.72562141
6,0.3,48.81991051
6,0.35,76.03658537
6,0.4,110.7741117
6,0.45,113.6588542
6,0.5,123.500283
6,0.55,126.9488074
6,0.6,130.2835821
8,0,9.054979253
8,0.05,9.874434389
8,0.1,9.698888889
8,0.15,10.39166667
8,0.2,12.7244898
8,0.25,20.68483412
8,0.3,26.80896806
8,0.35,27.14241294
8,0.4,31.58104197
8,0.45,29.65013587
8,0.5,32.13917526
10,0,34.09765625
10,0.05,37.11309524
10,0.1,44.17510121
10,0.15,97.421875
10,0.2,125.9232545
10,0.25,137.3348018
10,0.3,145.3864091
10,0.35,143.5690789
10,0.4,146.2634048
10,0.45,145.9698997
10,0.5,140.6995487
10,0.55,146.7552118
10,0.6,140.7903226
11,0,6.399560117
11,0.05,6.798286604
11,0.1,7.039516129
11,0.15,8.729
11,0.2,11.5462963
11,0.25,19.484375
11,0.3,22.89874082
11,0.35,24.54724409
11,0.4,24.63036117
11,0.45,24.27419355
11,0.5,23.0438226
12,0,13.36344152
12,0.05,14.50964096
12,0.1,14.92647059
12,0.15,16.74788949
12,0.2,18.99260226
12,0.25,32.09191176
12,0.3,48.17328918
12,0.35,100.5645161
12,0.4,135.5434783
12,0.45,147.4493243
12,0.5,154.7695035
14,0,20.78333333
14,0.05,20.09438306
14,0.1,22.59057971
14,0.15,26.64529915
14,0.2,23.33957219
14,0.25,16.34644195
14,0.3,10.49158654
14,0.35,6.437315634
14,0.4,8.082407407
14,0.45,15.42226148
14,0.5,12.76169591
14,0.55,11.19102564
15,0,15.72226225
15,0.05,15.92883212
15,0.1,18.57234043
15,0.15,22.61398964
15,0.2,24.51966292
15,0.25,38.96875
15,0.3,70.39516129
15,0.35,114.8552632
15,0.4,140.7903226
15,0.45,152.6048951
15,0.5,155.875
