ID,depth_m,EC_msm
1,0,38.89928699
1,0.05,37.68998273
1,0.1,41.64599237
1,0.15,44.62678937
1,0.2,54.15012407
1,0.25,86.94223108
1,0.3,132.1774682
1,0.35,139.1741071
1,0.4,117.9594595
1,0.45,90.92708333
1,0.5,80.82407407
2,0,11.30699482
2,0.05,11.79594595
2,0.1,12.70966803
2,0.15,15.07078729
2,0.2,14.98798077
2,0.25,16.51968206
2,0.3,20.26230269
2,0.35,21.39460784
2,0.4,21.62784936
2,0.45,22.26785714
2,0.5,22.75547445
3,0,16.54473086
3,0.05,23.31463675
3,0.1,30.99786932
3,0.15,35.42613636
3,0.2,36.73821549
3,0.25,33.16489362
3,0.3,30.95390071
3,0.35,33.88586957
3,0.4,49.93707094
3,0.45,81.42723881
3,0.5,150.8120249
4,0,10.5934466
4,0.05,9.874434389
4,0.25,20.7044592
4,0.3,20.52916275
4,0.35,18.86127917
4,0.4,15.8134058
4,0.45,17.14257659
4,0.5,20.50986842
5,0,52.33213429
5,0.05,55.66964286
5,0.1,55.52798982
5,0.15,70.62297735
5,0.2,126.1416185
5,0.25,132.2575758
5,0.3,134.2097171
5,0.35,141.1545925
5,0.4,143.7582345
5,0.45,138.7317228
5,0.5,131.858006
6,0,39.31981982
6,0.05,41.1745283
6,0.1,38.96875
6,0.15,34.09765625
6,0.2,38.76110124
6,0.25,50.28225806
6,0.3,85.57843137
6,0.35,89.43647541
6,0.4,114.2539267
6,0.45,134.2923077
6,0.5,136.9040151
7,0,17.93138866
7,0.05,17.94613487
7,0.1,19.69539711
7,0.15,23.24014909
7,0.2,25.85604265
7,0.25,32.09191176
7,0.3,28.94230769
7,0.35,26.13473054
7,0.4,25.11219793
7,0.45,30.82274011
7,0.5,35.36871961
8,0,12.76169591
8,0.05,13.91741071
8,0.1,14.94691781
8,0.15,15.56526391
8,0.2,18.15515807
8,0.25,23.87582057
8,0.3,27.62341772
8,0.35,30.26699029
8,0.4,36.43155259
8,0.45,38.69237589
8,0.5,37.82062392
9,0,13.16988533
9,0.05,30.14157459
9,0.1,30.22506925
9,0.15,30.73591549
9,0.2,29.29194631
9,0.25,30.43584379
9,0.3,40.41203704
9,0.35,54.96851385
9,0.4,125.778098
9,0.45,156.6582915
9,0.5,165.9505703
10,0,41.72562141
10,0.05,43.55788423
10,0.1,51.95833333
10,0.15,57.27690289
10,0.2,90.17561983
10,0.25,133.3893643
10,0.3,144.6156395
10,0.35,145.2896138
10,0.4,140.9722222
10,0.45,154.2226148
10,0.5,154.7695035
11,0,10.0103211
11,0.05,9.655973451
11,0.1,9.246822034
11,0.15,10.15
11,0.2,11.30699482
11,0.25,14.10633484
11,0.3,14.06995487
11,0.35,11.02146465
11,0.4,9.785874439
11,0.45,10.24530516
11,0.5,11.02146465
12,0.1,28.4517601
12,0.15,30.3511822
12,0.2,26.19747899
12,0.25,24.24722222
12,0.3,27.41520101
12,0.35,33.99143302
12,0.4,36.98728814
12,0.45,54.01608911
12,0.5,102.9363208
13,0,30.18326418
13,0.05,30.99786932
13,0.1,34.916
13,0.15,39.46202532
13,0.2,42.29166667
13,0.25,52.71135266
13,0.3,76.30244755
13,0.35,111.3392857
13,0.4,172.101735
13,0.45,186.1988055
13,0.5,189.2671292
14,0,50.5150463
14,0.05,53.09610706
14,0.1,48.60244989
14,0.15,43.99697581
14,0.2,41.01973684
14,0.25,40.56226766
14,0.3,124.3447293
14,0.35,136.3054341
14,0.4,148.9590444
14,0.45,148.452381
14,0.5,154.6598157
15,0,21.8006993
15,0.1,34.15101721
15,0.15,34.97195513
15,0.2,35.14090177
15,0.25,32.76651652
15,0.3,39.39079422
15,0.35,39.17863555
15,0.4,40.7136194
15,0.45,44.62678937
15,0.5,51.83491686
